timestamp;event;payload
750575482;3;32-1
750575483;4;32-1
750575683;3;32-2
750575683;4;32-2
750575883;3;32-3
750575884;4;32-3
750576083;3;32-4
750576083;4;32-4
750576283;3;32-5
750576284;4;32-5
750576483;3;32-6
750576484;4;32-6
750576683;3;32-7
750576684;4;32-7
750576883;3;32-8
750576884;4;32-8
750577083;3;32-9
750577084;4;32-9
750577283;3;32-10
750577284;4;32-10
750577484;3;32-11
750577484;4;32-11
750577684;3;32-12
750577684;4;32-12
750577884;3;32-13
750577884;4;32-13
750578084;3;32-14
750578084;4;32-14
750578284;3;32-15
750578284;4;32-15
750578484;3;32-16
750578484;4;32-16
750578684;3;32-17
750578685;4;32-17
750578884;3;32-18
750578885;4;32-18
750579084;3;32-19
750579085;4;32-19
750579284;3;32-20
750579285;4;32-20
750579484;3;32-21
750579485;4;32-21
750579685;3;32-22
750579685;4;32-22
750579885;3;32-23
750579885;4;32-23
750580085;3;32-24
750580085;4;32-24
750580285;3;32-25
750580285;4;32-25
750580485;3;32-26
750580485;4;32-26
750580685;3;32-27
750580685;4;32-27
750580885;3;32-28
750580886;4;32-28
750581085;3;32-29
750581086;4;32-29
750581285;3;32-30
750581286;4;32-30
750581485;3;32-31
750581486;4;32-31
750581686;3;32-32
750581686;4;32-32
750581886;3;32-33
750581886;4;32-33
750582086;3;32-34
750582086;4;32-34
750582286;3;32-35
750582286;4;32-35
750582486;3;32-36
750582486;4;32-36
750582686;3;32-37
750582686;4;32-37
750582886;3;32-38
750582887;4;32-38
750583086;3;32-39
750583087;4;32-39
750583286;3;32-40
750583287;4;32-40
750583486;3;32-41
750583487;4;32-41
750583686;3;32-42
750583687;4;32-42
750583887;3;32-43
750583887;4;32-43
750584087;3;32-44
750584087;4;32-44
750584287;3;32-45
750584287;4;32-45
750584487;3;32-46
750584487;4;32-46
750584687;3;32-47
750584687;4;32-47
750584887;3;32-48
750584887;4;32-48
750585087;3;32-49
750585088;4;32-49
750585287;3;32-50
750585288;4;32-50
750585487;3;32-51
750585488;4;32-51
750585687;3;32-52
750585688;4;32-52
750585887;3;32-53
750585888;4;32-53
750586087;3;32-54
750586088;4;32-54
750586288;3;32-55
750586288;4;32-55
750586488;3;32-56
750586488;4;32-56
750586688;3;32-57
750586688;4;32-57
750586888;3;32-58
750586888;4;32-58
750587088;3;32-59
750587088;4;32-59
750587288;3;32-60
750587288;4;32-60
750587488;3;32-61
750587489;4;32-61
750587688;3;32-62
750587689;4;32-62
750587888;3;32-63
750587889;4;32-63
750588088;3;32-64
750588089;4;32-64
750588288;3;32-65
750588289;4;32-65
750588489;3;32-66
750588489;4;32-66
750588689;3;32-67
750588690;4;32-67
750588889;3;32-68
750588890;4;32-68
750589089;3;32-69
750589090;4;32-69
750589289;3;32-70
750589290;4;32-70
750589490;3;32-71
750589490;4;32-71
750589690;3;32-72
750589690;4;32-72
750589890;3;32-73
750589890;4;32-73
750590090;3;32-74
750590090;4;32-74
750590290;3;32-75
750590290;4;32-75
750590490;3;32-76
750590490;4;32-76
750590690;3;32-77
750590690;4;32-77
750590890;3;32-78
750590890;4;32-78
750591090;3;32-79
750591091;4;32-79
750591290;3;32-80
750591291;4;32-80
750591490;3;32-81
750591491;4;32-81
750591690;3;32-82
750591691;4;32-82
750591891;3;32-83
750591891;4;32-83
750592091;3;32-84
750592091;4;32-84
750592291;3;32-85
750592291;4;32-85
750592491;3;32-86
750592491;4;32-86
750592691;3;32-87
750592691;4;32-87
750592891;3;32-88
750592891;4;32-88
750593091;3;32-89
750593091;4;32-89
750593291;3;32-90
750593292;4;32-90
750593491;3;32-91
750593492;4;32-91
750593691;3;32-92
750593692;4;32-92
750593891;3;32-93
750593892;4;32-93
750594092;3;32-94
750594092;4;32-94
750594292;3;32-95
750594292;4;32-95
750594492;3;32-96
750594492;4;32-96
750594692;3;32-97
750594692;4;32-97
750594892;3;32-98
750594892;4;32-98
750595092;3;32-99
750595092;4;32-99
750595292;3;32-100
750595292;4;32-100
750595492;3;32-101
750595493;4;32-101
750595692;3;32-102
750595693;4;32-102
750595892;3;32-103
750595893;4;32-103
750596092;3;32-104
750596093;4;32-104
750596293;3;32-105
750596293;4;32-105
750596493;3;32-106
750596493;4;32-106
750596693;3;32-107
750596693;4;32-107
750596893;3;32-108
750596893;4;32-108
750597093;3;32-109
750597093;4;32-109
750597293;3;32-110
750597293;4;32-110
750597493;3;32-111
750597494;4;32-111
750597693;3;32-112
750597694;4;32-112
750597893;3;32-113
750597894;4;32-113
750598093;3;32-114
750598094;4;32-114
750598293;3;32-115
750598294;4;32-115
750598494;3;32-116
750598494;4;32-116
750598694;3;32-117
750598694;4;32-117
750598894;3;32-118
750598894;4;32-118
750599094;3;32-119
750599094;4;32-119
750599294;3;32-120
750599294;4;32-120
750599494;3;32-121
750599494;4;32-121
750599694;3;32-122
750599695;4;32-122
750599894;3;32-123
750599895;4;32-123
750600094;3;32-124
750600095;4;32-124
750600294;3;32-125
750600295;4;32-125
750600494;3;32-126
750600495;4;32-126
750600695;3;32-127
750600695;4;32-127
750600895;3;32-128
750600895;4;32-128
750601095;3;32-129
750601095;4;32-129
750601295;3;32-130
750601295;4;32-130
750601495;3;32-131
750601495;4;32-131
750601695;3;32-132
750601695;4;32-132
750601895;3;32-133
750601895;4;32-133
750602095;3;32-134
750602095;4;32-134
750602295;3;32-135
750602296;4;32-135
750602495;3;32-136
750602496;4;32-136
750602695;3;32-137
750602696;4;32-137
750602896;3;32-138
750602896;4;32-138
750603096;3;32-139
750603096;4;32-139
750603296;3;32-140
750603296;4;32-140
750603496;3;32-141
750603496;4;32-141
750603696;3;32-142
750603696;4;32-142
750603896;3;32-143
750603896;4;32-143
750604096;3;32-144
750604097;4;32-144
750604296;3;32-145
750604297;4;32-145
750604496;3;32-146
750604497;4;32-146
750604696;3;32-147
750604697;4;32-147
750604896;3;32-148
750604897;4;32-148
750605097;3;32-149
750605097;4;32-149
750605297;3;32-150
750605297;4;32-150
750605497;3;32-151
750605497;4;32-151
750605697;3;32-152
750605697;4;32-152
750605897;3;32-153
750605897;4;32-153
750606097;3;32-154
750606097;4;32-154
750606297;3;32-155
750606298;4;32-155
750606497;3;32-156
750606498;4;32-156
750606697;3;32-157
750606698;4;32-157
750606897;3;32-158
750606898;4;32-158
750607097;3;32-159
750607098;4;32-159
750607298;3;32-160
750607298;4;32-160
750607498;3;32-161
750607498;4;32-161
750607698;3;32-162
750607698;4;32-162
750607898;3;32-163
750607898;4;32-163
750608098;3;32-164
750608098;4;32-164
750608298;3;32-165
750608298;4;32-165
750608498;3;32-166
750608498;4;32-166
750608698;3;32-167
750608698;4;32-167
750608898;3;32-168
750608899;4;32-168
750609098;3;32-169
750609099;4;32-169
750609298;3;32-170
750609299;4;32-170
750609498;3;32-171
750609499;4;32-171
750609699;3;32-172
750609699;4;32-172
750609899;3;32-173
750609899;4;32-173
750610099;3;32-174
750610099;4;32-174
750610299;3;32-175
750610299;4;32-175
750610499;3;32-176
750610499;4;32-176
750610699;3;32-177
750610699;4;32-177
750610899;3;32-178
750610899;4;32-178
750611099;3;32-179
750611099;4;32-179
750611299;3;32-180
750611300;4;32-180
750611499;3;32-181
750611500;4;32-181
750611699;3;32-182
750611700;4;32-182
750611899;3;32-183
750611900;4;32-183
750612100;3;32-184
750612100;4;32-184
750612300;3;32-185
750612300;4;32-185
750612500;3;32-186
750612500;4;32-186
750612700;3;32-187
750612700;4;32-187
750612900;3;32-188
750612900;4;32-188
750613100;3;32-189
750613100;4;32-189
750613300;3;32-190
750613300;4;32-190
750613500;3;32-191
750613500;4;32-191
750613700;3;32-192
750613700;4;32-192
750613900;3;32-193
750613901;4;32-193
750614100;3;32-194
750614101;4;32-194
750614300;3;32-195
750614301;4;32-195
750614501;3;32-196
750614501;4;32-196
750614701;3;32-197
750614701;4;32-197
750614901;3;32-198
750614901;4;32-198
750615101;3;32-199
750615101;4;32-199
750615301;3;32-200
750615301;4;32-200
750615501;3;32-201
750615501;4;32-201
750615701;3;32-202
750615701;4;32-202
750615901;3;32-203
750615901;4;32-203
750616101;3;32-204
750616102;4;32-204
750616301;3;32-205
750616302;4;32-205
750616501;3;32-206
750616502;4;32-206
750616701;3;32-207
750616702;4;32-207
750616902;3;32-208
750616902;4;32-208
750617102;3;32-209
750617102;4;32-209
750617302;3;32-210
750617302;4;32-210
750617502;3;32-211
750617502;4;32-211
750617702;3;32-212
750617702;4;32-212
750617902;3;32-213
750617902;4;32-213
750618102;3;32-214
750618102;4;32-214
750618302;3;32-215
750618302;4;32-215
750618502;3;32-216
750618503;4;32-216
750618702;3;32-217
750618703;4;32-217
750618902;3;32-218
750618903;4;32-218
750619102;3;32-219
750619103;4;32-219
750619303;3;32-220
750619303;4;32-220
750619503;3;32-221
750619503;4;32-221
750619703;3;32-222
750619703;4;32-222
750619903;3;32-223
750619903;4;32-223
750620103;3;32-224
750620103;4;32-224
750620303;3;32-225
