timestamp;event;payload
750215482;3;0-1
750215482;4;0-1
750215682;3;0-2
750215683;4;0-2
750215882;3;0-3
750215883;4;0-3
750216082;3;0-4
750216083;4;0-4
750216282;3;0-5
750216283;4;0-5
750216483;3;0-6
750216483;4;0-6
750216683;3;0-7
750216684;4;0-7
750216883;3;0-8
750216884;4;0-8
750217083;3;0-9
750217084;4;0-9
750217283;3;0-10
750217284;4;0-10
750217483;3;0-11
750217484;4;0-11
750217684;3;0-12
750217684;4;0-12
750217884;3;0-13
750217885;4;0-13
750218084;3;0-14
750218085;4;0-14
750218284;3;0-15
750218285;4;0-15
750218484;3;0-16
750218485;4;0-16
750218684;3;0-17
750218685;4;0-17
750218884;3;0-18
750218885;4;0-18
750219085;3;0-19
750219085;4;0-19
750219285;3;0-20
750219286;4;0-20
750219485;3;0-21
750219485;4;0-21
750219685;3;0-22
750219686;4;0-22
750219885;3;0-23
750219886;4;0-23
750220085;3;0-24
750220086;4;0-24
750220285;3;0-25
750220286;4;0-25
750220486;3;0-26
750220487;4;0-26
750220686;3;0-27
750220687;4;0-27
750220886;3;0-28
750220887;4;0-28
750221086;3;0-29
750221087;4;0-29
750221286;3;0-30
750221287;4;0-30
750221486;3;0-31
750221487;4;0-31
750221686;3;0-32
750221687;4;0-32
750221887;3;0-33
750221887;4;0-33
750222087;3;0-34
750222088;4;0-34
750222287;3;0-35
750222288;4;0-35
750222487;3;0-36
750222488;4;0-36
750222687;3;0-37
750222688;4;0-37
750222887;3;0-38
750222888;4;0-38
750223087;3;0-39
750223088;4;0-39
750223288;3;0-40
750223288;4;0-40
750223488;3;0-41
750223488;4;0-41
750223688;3;0-42
750223688;4;0-42
750223888;3;0-43
750223889;4;0-43
750224088;3;0-44
750224089;4;0-44
750224288;3;0-45
750224289;4;0-45
750224489;3;0-46
750224489;4;0-46
750224689;3;0-47
750224689;4;0-47
750224889;3;0-48
750224889;4;0-48
750225089;3;0-49
750225090;4;0-49
750225289;3;0-50
750225290;4;0-50
750225489;3;0-51
750225490;4;0-51
750225690;3;0-52
750225690;4;0-52
750225890;3;0-53
750225890;4;0-53
750226090;3;0-54
750226090;4;0-54
750226290;3;0-55
750226291;4;0-55
750226490;3;0-56
750226491;4;0-56
750226690;3;0-57
750226691;4;0-57
750226891;3;0-58
750226891;4;0-58
750227091;3;0-59
750227091;4;0-59
750227291;3;0-60
750227291;4;0-60
750227491;3;0-61
750227492;4;0-61
750227691;3;0-62
750227692;4;0-62
750227891;3;0-63
750227892;4;0-63
750228092;3;0-64
750228092;4;0-64
750228292;3;0-65
750228293;4;0-65
750228492;3;0-66
750228493;4;0-66
750228692;3;0-67
750228693;4;0-67
750228892;3;0-68
750228893;4;0-68
750229092;3;0-69
750229093;4;0-69
750229293;3;0-70
750229294;4;0-70
750229493;3;0-71
750229494;4;0-71
750229693;3;0-72
750229694;4;0-72
750229893;3;0-73
750229894;4;0-73
750230093;3;0-74
750230094;4;0-74
750230293;3;0-75
750230294;4;0-75
750230494;3;0-76
750230495;4;0-76
750230694;3;0-77
750230695;4;0-77
750230894;3;0-78
750230895;4;0-78
750231094;3;0-79
750231095;4;0-79
750231294;3;0-80
750231295;4;0-80
750231494;3;0-81
750231495;4;0-81
750231695;3;0-82
750231696;4;0-82
750231895;3;0-83
750231896;4;0-83
750232095;3;0-84
750232096;4;0-84
750232295;3;0-85
750232296;4;0-85
750232495;3;0-86
750232496;4;0-86
750232696;3;0-87
750232696;4;0-87
750232896;3;0-88
750232896;4;0-88
750233096;3;0-89
750233097;4;0-89
750233296;3;0-90
750233297;4;0-90
750233496;3;0-91
750233497;4;0-91
750233696;3;0-92
750233697;4;0-92
750233897;3;0-93
750233897;4;0-93
750234097;3;0-94
750234098;4;0-94
750234297;3;0-95
750234298;4;0-95
750234497;3;0-96
750234498;4;0-96
750234697;3;0-97
750234698;4;0-97
750234897;3;0-98
750234898;4;0-98
750235098;3;0-99
750235099;4;0-99
750235298;3;0-100
750235299;4;0-100
750235498;3;0-101
750235499;4;0-101
750235698;3;0-102
750235699;4;0-102
750235898;3;0-103
750235899;4;0-103
750236098;3;0-104
750236099;4;0-104
750236299;3;0-105
750236300;4;0-105
750236499;3;0-106
750236500;4;0-106
750236699;3;0-107
750236700;4;0-107
750236899;3;0-108
750236900;4;0-108
750237099;3;0-109
750237100;4;0-109
750237300;3;0-110
750237300;4;0-110
750237500;3;0-111
750237501;4;0-111
750237700;3;0-112
750237701;4;0-112
750237900;3;0-113
750237901;4;0-113
750238100;3;0-114
750238101;4;0-114
750238300;3;0-115
750238301;4;0-115
750238501;3;0-116
750238501;4;0-116
750238701;3;0-117
750238702;4;0-117
750238901;3;0-118
750238902;4;0-118
750239101;3;0-119
750239102;4;0-119
750239301;3;0-120
750239302;4;0-120
750239501;3;0-121
750239502;4;0-121
750239702;3;0-122
750239703;4;0-122
750239902;3;0-123
750239903;4;0-123
750240102;3;0-124
750240103;4;0-124
750240302;3;0-125
750240303;4;0-125
750240502;3;0-126
750240503;4;0-126
750240702;3;0-127
750240703;4;0-127
750240903;3;0-128
750240904;4;0-128
750241103;3;0-129
750241104;4;0-129
750241303;3;0-130
750241304;4;0-130
750241503;3;0-131
750241504;4;0-131
750241703;3;0-132
750241704;4;0-132
750241904;3;0-133
750241904;4;0-133
750242104;3;0-134
750242104;4;0-134
750242304;3;0-135
750242304;4;0-135
750242504;3;0-136
750242505;4;0-136
750242704;3;0-137
750242705;4;0-137
750242904;3;0-138
750242905;4;0-138
750243105;3;0-139
750243105;4;0-139
750243305;3;0-140
750243305;4;0-140
750243505;3;0-141
750243505;4;0-141
750243705;3;0-142
750243706;4;0-142
750243905;3;0-143
750243906;4;0-143
750244105;3;0-144
750244106;4;0-144
750244306;3;0-145
750244306;4;0-145
750244506;3;0-146
750244506;4;0-146
750244706;3;0-147
750244706;4;0-147
750244906;3;0-148
750244907;4;0-148
750245106;3;0-149
750245107;4;0-149
750245306;3;0-150
750245307;4;0-150
750245507;3;0-151
750245507;4;0-151
750245707;3;0-152
750245707;4;0-152
750245907;3;0-153
750245908;4;0-153
750246107;3;0-154
750246108;4;0-154
750246307;3;0-155
750246308;4;0-155
750246507;3;0-156
750246508;4;0-156
750246708;3;0-157
750246708;4;0-157
750246908;3;0-158
750246908;4;0-158
750247108;3;0-159
750247109;4;0-159
750247308;3;0-160
750247309;4;0-160
750247508;3;0-161
750247509;4;0-161
750247708;3;0-162
750247709;4;0-162
750247909;3;0-163
750247909;4;0-163
750248109;3;0-164
750248109;4;0-164
750248309;3;0-165
750248309;4;0-165
750248509;3;0-166
750248510;4;0-166
750248709;3;0-167
750248710;4;0-167
750248909;3;0-168
750248910;4;0-168
750249109;3;0-169
750249110;4;0-169
750249309;3;0-170
