timestamp;event;payload
144552476;9;0.00
144554942;9;895.48
144560960;9;3134.13
144566961;9;5152.14
144572992;9;4689.45
144578936;9;24217.81
144584956;9;43895.74
144590936;9;61554.51
144596956;9;77679.38
144602936;9;92123.22
144608956;9;105339.09
144614936;9;117235.45
144620956;9;128432.71
144626936;9;138409.30
144632956;9;147365.12
144638935;9;155346.87
144644955;9;162688.96
144650934;9;169184.86
144656954;9;175210.09
144662934;9;180514.44
144668955;9;185461.52
144674934;9;189839.81
144680954;9;194127.85
144686934;9;197852.72
144692954;9;201151.75
144698934;9;204044.52
144704954;9;206752.42
144710933;9;209055.12
144716953;9;211286.20
144722933;9;213157.46
144728953;9;214998.14
144734933;9;216561.84
144740953;9;218306.95
144746933;9;219730.87
144752953;9;220947.92
144758933;9;222015.84
144764952;9;223013.54
144770932;9;223768.79
144776952;9;224599.68
144782932;9;225203.99
144788952;9;225898.30
144794931;9;226417.10
144800951;9;227224.35
144806931;9;227799.67
144812951;9;228248.87
144818930;9;228740.02
144824950;9;229097.83
144830930;9;229274.08
144836950;9;229581.07
144842930;9;229711.34
144848949;9;229976.72
144854929;9;230092.18
144860949;9;230549.70
144866929;9;230808.57
144872949;9;230971.44
144878929;9;231439.50
144884949;9;231540.42
144890929;9;231484.23
144896949;9;231580.90
144902929;9;231520.86
144908948;9;231614.04
144914928;9;231564.17
144920948;9;231860.68
144926928;9;231994.79
144932948;9;232044.77
144938927;9;232882.70
144944946;9;232846.28
144950926;9;232665.83
144956946;9;232650.05
144962926;9;232488.27
144968946;9;232489.38
144974925;9;232360.97
144980928;9;232513.14
144986925;9;232877.31
144992945;9;232986.05
144998925;9;234820.21
145004945;9;234742.16
145010964;9;234671.53
145016944;9;234459.17
145022964;9;234415.48
145028944;9;234227.49
145034964;9;234219.16
145040944;9;234061.27
145046932;9;234135.38
145052943;9;234130.11
145058963;9;237891.87
145064943;9;237373.06
145070963;9;237052.07
145076942;9;236613.17
145082962;9;236364.50
145088942;9;235991.03
145094962;9;235814.88
145100942;9;235493.72
145106962;9;235353.48
145112942;9;235078.13
