timestamp;event;payload
156552323;3;33-1
156552323;4;33-1
156552523;3;33-2
156552523;4;33-2
156552724;3;33-3
156552724;4;33-3
156552924;3;33-4
156552924;4;33-4
156553124;3;33-5
156553124;4;33-5
156553324;3;33-6
156553324;4;33-6
156553524;3;33-7
156553524;4;33-7
156553724;3;33-8
156553724;4;33-8
156553924;3;33-9
156553924;4;33-9
156554124;3;33-10
156554124;4;33-10
156554324;3;33-11
156554325;4;33-11
156554525;3;33-12
156554525;4;33-12
156554725;3;33-13
156554725;4;33-13
156554925;3;33-14
156554925;4;33-14
156555125;3;33-15
156555125;4;33-15
156555325;3;33-16
156555325;4;33-16
156555525;3;33-17
156555525;4;33-17
156555725;3;33-18
156555725;4;33-18
156555925;3;33-19
156555925;4;33-19
156556125;3;33-20
156556126;4;33-20
156556326;3;33-21
156556326;4;33-21
156556526;3;33-22
156556526;4;33-22
156556726;3;33-23
156556726;4;33-23
156556926;3;33-24
156556926;4;33-24
156557126;3;33-25
156557126;4;33-25
156557326;3;33-26
156557326;4;33-26
156557526;3;33-27
156557526;4;33-27
156557726;3;33-28
156557726;4;33-28
156557927;3;33-29
156557927;4;33-29
156558127;3;33-30
156558127;4;33-30
156558327;3;33-31
156558327;4;33-31
156558527;3;33-32
156558527;4;33-32
156558727;3;33-33
156558727;4;33-33
156558927;3;33-34
156558927;4;33-34
156559127;3;33-35
156559127;4;33-35
156559327;3;33-36
156559328;4;33-36
156559528;3;33-37
156559528;4;33-37
156559728;3;33-38
156559728;4;33-38
156559928;3;33-39
156559928;4;33-39
156560128;3;33-40
156560128;4;33-40
156560328;3;33-41
156560328;4;33-41
156560528;3;33-42
156560528;4;33-42
156560728;3;33-43
156560728;4;33-43
156560928;3;33-44
156560928;4;33-44
156561128;3;33-45
156561129;4;33-45
156561329;3;33-46
156561329;4;33-46
156561529;3;33-47
156561529;4;33-47
156561729;3;33-48
156561729;4;33-48
156561929;3;33-49
156561929;4;33-49
156562129;3;33-50
156562129;4;33-50
156562329;3;33-51
156562330;4;33-51
156562529;3;33-52
156562530;4;33-52
156562730;3;33-53
156562730;4;33-53
156562930;3;33-54
156562930;4;33-54
156563130;3;33-55
156563130;4;33-55
156563330;3;33-56
156563330;4;33-56
156563530;3;33-57
156563530;4;33-57
156563730;3;33-58
156563730;4;33-58
156563930;3;33-59
156563930;4;33-59
156564130;3;33-60
156564131;4;33-60
156564331;3;33-61
156564331;4;33-61
156564531;3;33-62
156564531;4;33-62
156564731;3;33-63
156564731;4;33-63
156564931;3;33-64
156564931;4;33-64
156565131;3;33-65
156565131;4;33-65
156565331;3;33-66
156565331;4;33-66
156565531;3;33-67
156565531;4;33-67
156565731;3;33-68
156565731;4;33-68
156565931;3;33-69
156565932;4;33-69
156566132;3;33-70
156566132;4;33-70
156566332;3;33-71
156566332;4;33-71
156566532;3;33-72
156566532;4;33-72
156566732;3;33-73
156566732;4;33-73
156566932;3;33-74
156566932;4;33-74
156567132;3;33-75
156567132;4;33-75
156567332;3;33-76
156567332;4;33-76
156567532;3;33-77
156567532;4;33-77
156567733;3;33-78
156567733;4;33-78
156567933;3;33-79
156567933;4;33-79
156568133;3;33-80
156568133;4;33-80
156568333;3;33-81
156568333;4;33-81
156568533;3;33-82
156568533;4;33-82
156568733;3;33-83
156568733;4;33-83
156568933;3;33-84
156568933;4;33-84
156569133;3;33-85
156569133;4;33-85
156569334;3;33-86
156569334;4;33-86
156569534;3;33-87
156569534;4;33-87
156569734;3;33-88
156569734;4;33-88
156569934;3;33-89
156569934;4;33-89
156570134;3;33-90
156570134;4;33-90
156570334;3;33-91
156570334;4;33-91
156570534;3;33-92
156570534;4;33-92
156570735;3;33-93
156570735;4;33-93
156570935;3;33-94
156570935;4;33-94
156571135;3;33-95
156571135;4;33-95
156571335;3;33-96
156571335;4;33-96
156571535;3;33-97
