timestamp;event;payload
1568568876;3;11-1
1568568877;4;11-1
1568569077;3;11-2
1568569077;4;11-2
1568569277;3;11-3
1568569278;4;11-3
1568569477;3;11-4
1568569478;4;11-4
1568569677;3;11-5
1568569678;4;11-5
1568569877;3;11-6
1568569878;4;11-6
1568570077;3;11-7
1568570078;4;11-7
1568570278;3;11-8
1568570278;4;11-8
1568570478;3;11-9
1568570478;4;11-9
1568570678;3;11-10
1568570678;4;11-10
1568570878;3;11-11
1568570879;4;11-11
1568571078;3;11-12
1568571079;4;11-12
1568571278;3;11-13
1568571279;4;11-13
1568571478;3;11-14
1568571479;4;11-14
1568571679;3;11-15
1568571679;4;11-15
1568571879;3;11-16
1568571879;4;11-16
1568572079;3;11-17
1568572080;4;11-17
1568572279;3;11-18
1568572280;4;11-18
1568572479;3;11-19
1568572480;4;11-19
1568572679;3;11-20
1568572680;4;11-20
1568572880;3;11-21
1568572881;4;11-21
1568573080;3;11-22
1568573081;4;11-22
1568573280;3;11-23
1568573281;4;11-23
1568573480;3;11-24
1568573481;4;11-24
1568573680;3;11-25
1568573681;4;11-25
1568573880;3;11-26
1568573881;4;11-26
1568574080;3;11-27
1568574081;4;11-27
1568574281;3;11-28
1568574281;4;11-28
1568574481;3;11-29
1568574482;4;11-29
1568574681;3;11-30
1568574682;4;11-30
1568574881;3;11-31
1568574882;4;11-31
1568575081;3;11-32
1568575082;4;11-32
1568575282;3;11-33
1568575282;4;11-33
1568575482;3;11-34
1568575482;4;11-34
1568575682;3;11-35
1568575683;4;11-35
1568575882;3;11-36
1568575883;4;11-36
1568576082;3;11-37
1568576083;4;11-37
1568576282;3;11-38
1568576283;4;11-38
1568576483;3;11-39
1568576483;4;11-39
1568576683;3;11-40
1568576683;4;11-40
1568576883;3;11-41
1568576883;4;11-41
1568577083;3;11-42
1568577084;4;11-42
1568577283;3;11-43
1568577284;4;11-43
1568577483;3;11-44
1568577484;4;11-44
1568577683;3;11-45
1568577684;4;11-45
1568577884;3;11-46
1568577884;4;11-46
1568578084;3;11-47
1568578084;4;11-47
1568578284;3;11-48
1568578285;4;11-48
1568578484;3;11-49
1568578485;4;11-49
1568578684;3;11-50
1568578685;4;11-50
1568578884;3;11-51
1568578885;4;11-51
1568579084;3;11-52
1568579085;4;11-52
1568579284;3;11-53
1568579285;4;11-53
1568579485;3;11-54
1568579485;4;11-54
1568579685;3;11-55
1568579685;4;11-55
1568579885;3;11-56
1568579885;4;11-56
1568580085;3;11-57
1568580086;4;11-57
1568580285;3;11-58
1568580286;4;11-58
1568580485;3;11-59
1568580486;4;11-59
1568580685;3;11-60
1568580686;4;11-60
1568580886;3;11-61
1568580886;4;11-61
1568581086;3;11-62
1568581086;4;11-62
1568581286;3;11-63
1568581286;4;11-63
1568581486;3;11-64
1568581487;4;11-64
1568581686;3;11-65
1568581687;4;11-65
1568581886;3;11-66
1568581887;4;11-66
1568582086;3;11-67
1568582087;4;11-67
1568582287;3;11-68
1568582287;4;11-68
1568582487;3;11-69
1568582487;4;11-69
1568582687;3;11-70
1568582687;4;11-70
1568582887;3;11-71
1568582888;4;11-71
1568583087;3;11-72
1568583088;4;11-72
1568583287;3;11-73
1568583288;4;11-73
1568583487;3;11-74
1568583488;4;11-74
1568583688;3;11-75
1568583688;4;11-75
1568583888;3;11-76
1568583888;4;11-76
1568584088;3;11-77
1568584088;4;11-77
1568584288;3;11-78
1568584289;4;11-78
1568584488;3;11-79
1568584489;4;11-79
1568584688;3;11-80
1568584689;4;11-80
1568584888;3;11-81
1568584889;4;11-81
1568585089;3;11-82
1568585089;4;11-82
1568585289;3;11-83
1568585289;4;11-83
1568585489;3;11-84
1568585490;4;11-84
1568585689;3;11-85
1568585690;4;11-85
1568585889;3;11-86
1568585890;4;11-86
1568586089;3;11-87
1568586090;4;11-87
1568586290;3;11-88
1568586290;4;11-88
1568586490;3;11-89
1568586490;4;11-89
1568586690;3;11-90
1568586691;4;11-90
1568586890;3;11-91
1568586891;4;11-91
1568587090;3;11-92
1568587091;4;11-92
1568587290;3;11-93
1568587291;4;11-93
1568587491;3;11-94
1568587491;4;11-94
1568587691;3;11-95
1568587691;4;11-95
1568587891;3;11-96
1568587892;4;11-96
1568588091;3;11-97
1568588092;4;11-97
1568588291;3;11-98
1568588292;4;11-98
1568588491;3;11-99
1568588492;4;11-99
1568588692;3;11-100
1568588692;4;11-100
1568588892;3;11-101
1568588892;4;11-101
1568589092;3;11-102
1568589092;4;11-102
1568589292;3;11-103
1568589293;4;11-103
1568589492;3;11-104
1568589493;4;11-104
1568589692;3;11-105
1568589693;4;11-105
1568589892;3;11-106
1568589893;4;11-106
1568590093;3;11-107
1568590093;4;11-107
1568590293;3;11-108
1568590293;4;11-108
1568590493;3;11-109
1568590493;4;11-109
1568590693;3;11-110
1568590694;4;11-110
1568590893;3;11-111
1568590894;4;11-111
1568591093;3;11-112
1568591094;4;11-112
1568591293;3;11-113
1568591294;4;11-113
1568591494;3;11-114
1568591494;4;11-114
1568591694;3;11-115
1568591694;4;11-115
1568591894;3;11-116
1568591894;4;11-116
1568592094;3;11-117
1568592095;4;11-117
1568592294;3;11-118
1568592295;4;11-118
1568592494;3;11-119
1568592495;4;11-119
1568592695;3;11-120
1568592695;4;11-120
1568592895;3;11-121
1568592895;4;11-121
1568593095;3;11-122
1568593095;4;11-122
1568593295;3;11-123
1568593295;4;11-123
1568593495;3;11-124
1568593496;4;11-124
1568593695;3;11-125
1568593696;4;11-125
1568593895;3;11-126
1568593896;4;11-126
1568594096;3;11-127
1568594096;4;11-127
1568594296;3;11-128
1568594296;4;11-128
1568594496;3;11-129
1568594496;4;11-129
1568594696;3;11-130
1568594697;4;11-130
1568594896;3;11-131
1568594897;4;11-131
1568595096;3;11-132
1568595097;4;11-132
1568595296;3;11-133
1568595297;4;11-133
1568595497;3;11-134
1568595497;4;11-134
1568595697;3;11-135
1568595697;4;11-135
1568595897;3;11-136
1568595897;4;11-136
1568596097;3;11-137
1568596098;4;11-137
1568596297;3;11-138
1568596298;4;11-138
1568596497;3;11-139
1568596498;4;11-139
1568596697;3;11-140
1568596698;4;11-140
1568596898;3;11-141
1568596898;4;11-141
1568597098;3;11-142
1568597098;4;11-142
1568597298;3;11-143
1568597298;4;11-143
1568597498;3;11-144
1568597499;4;11-144
1568597698;3;11-145
1568597699;4;11-145
1568597898;3;11-146
1568597899;4;11-146
1568598099;3;11-147
1568598099;4;11-147
1568598299;3;11-148
1568598300;4;11-148
1568598499;3;11-149
1568598500;4;11-149
1568598699;3;11-150
1568598700;4;11-150
1568598899;3;11-151
1568598900;4;11-151
1568599099;3;11-152
1568599100;4;11-152
1568599300;3;11-153
1568599300;4;11-153
1568599500;3;11-154
1568599500;4;11-154
1568599700;3;11-155
1568599701;4;11-155
1568599900;3;11-156
1568599901;4;11-156
1568600100;3;11-157
1568600101;4;11-157
1568600300;3;11-158
1568600301;4;11-158
1568600500;3;11-159
1568600501;4;11-159
1568600701;3;11-160
1568600701;4;11-160
1568600901;3;11-161
1568600901;4;11-161
1568601101;3;11-162
1568601102;4;11-162
1568601301;3;11-163
1568601302;4;11-163
1568601501;3;11-164
1568601502;4;11-164
1568601701;3;11-165
1568601702;4;11-165
1568601902;3;11-166
1568601902;4;11-166
1568602102;3;11-167
1568602102;4;11-167
1568602302;3;11-168
1568602302;4;11-168
1568602502;3;11-169
1568602503;4;11-169
1568602702;3;11-170
1568602703;4;11-170
1568602902;3;11-171
1568602903;4;11-171
1568603102;3;11-172
1568603103;4;11-172
1568603303;3;11-173
1568603303;4;11-173
1568603503;3;11-174
1568603503;4;11-174
1568603703;3;11-175
1568603703;4;11-175
1568603903;3;11-176
1568603904;4;11-176
1568604103;3;11-177
1568604104;4;11-177
1568604303;3;11-178
1568604304;4;11-178
1568604503;3;11-179
1568604504;4;11-179
1568604704;3;11-180
1568604704;4;11-180
1568604904;3;11-181
1568604904;4;11-181
1568605104;3;11-182
1568605105;4;11-182
1568605304;3;11-183
1568605305;4;11-183
1568605504;3;11-184
1568605505;4;11-184
1568605704;3;11-185
1568605705;4;11-185
1568605904;3;11-186
1568605905;4;11-186
1568606105;3;11-187
1568606105;4;11-187
1568606305;3;11-188
1568606305;4;11-188
1568606505;3;11-189
1568606506;4;11-189
1568606705;3;11-190
1568606706;4;11-190
1568606905;3;11-191
1568606906;4;11-191
1568607105;3;11-192
1568607106;4;11-192
1568607306;3;11-193
1568607306;4;11-193
1568607506;3;11-194
1568607506;4;11-194
1568607706;3;11-195
1568607706;4;11-195
1568607906;3;11-196
1568607907;4;11-196
1568608106;3;11-197
1568608107;4;11-197
1568608306;3;11-198
1568608307;4;11-198
1568608506;3;11-199
1568608507;4;11-199
1568608707;3;11-200
1568608707;4;11-200
1568608907;3;11-201
1568608907;4;11-201
1568609107;3;11-202
1568609107;4;11-202
1568609307;3;11-203
1568609308;4;11-203
1568609507;3;11-204
1568609508;4;11-204
1568609707;3;11-205
1568609708;4;11-205
1568609907;3;11-206
1568609908;4;11-206
1568610108;3;11-207
1568610108;4;11-207
1568610308;3;11-208
1568610308;4;11-208
1568610508;3;11-209
1568610508;4;11-209
1568610708;3;11-210
1568610709;4;11-210
1568610908;3;11-211
1568610909;4;11-211
1568611108;3;11-212
1568611109;4;11-212
1568611309;3;11-213
1568611309;4;11-213
1568611509;3;11-214
1568611509;4;11-214
1568611709;3;11-215
1568611709;4;11-215
1568611909;3;11-216
1568611910;4;11-216
1568612109;3;11-217
1568612110;4;11-217
1568612309;3;11-218
1568612310;4;11-218
1568612509;3;11-219
1568612510;4;11-219
1568612710;3;11-220
1568612710;4;11-220
1568612910;3;11-221
1568612910;4;11-221
1568613110;3;11-222
1568613111;4;11-222
1568613310;3;11-223
1568613311;4;11-223
1568613510;3;11-224
1568613511;4;11-224
1568613710;3;11-225
1568613711;4;11-225
1568613910;3;11-226
1568613911;4;11-226
1568614110;3;11-227
1568614111;4;11-227
1568614311;3;11-228
1568614311;4;11-228
1568614511;3;11-229
1568614511;4;11-229
1568614711;3;11-230
1568614712;4;11-230
1568614911;3;11-231
1568614912;4;11-231
1568615111;3;11-232
1568615112;4;11-232
1568615311;3;11-233
1568615312;4;11-233
1568615511;3;11-234
1568615512;4;11-234
1568615712;3;11-235
1568615712;4;11-235
1568615912;3;11-236
1568615912;4;11-236
1568616112;3;11-237
1568616112;4;11-237
1568616312;3;11-238
1568616313;4;11-238
1568616512;3;11-239
1568616513;4;11-239
1568616712;3;11-240
1568616713;4;11-240
1568616913;3;11-241
1568616913;4;11-241
1568617113;3;11-242
1568617113;4;11-242
1568617313;3;11-243
1568617313;4;11-243
1568617513;3;11-244
1568617514;4;11-244
1568617713;3;11-245
1568617714;4;11-245
1568617913;3;11-246
1568617914;4;11-246
1568618113;3;11-247
1568618114;4;11-247
1568618314;3;11-248
1568618314;4;11-248
1568618514;3;11-249
1568618514;4;11-249
1568618714;3;11-250
1568618715;4;11-250
1568618914;3;11-251
1568618915;4;11-251
1568619114;3;11-252
1568619115;4;11-252
1568619314;3;11-253
1568619315;4;11-253
1568619515;3;11-254
1568619515;4;11-254
1568619715;3;11-255
1568619715;4;11-255
1568619915;3;11-256
1568619916;4;11-256
1568620115;3;11-257
1568620116;4;11-257
1568620315;3;11-258
1568620316;4;11-258
1568620516;3;11-259
1568620516;4;11-259
1568620716;3;11-260
1568620716;4;11-260
1568620916;3;11-261
1568620917;4;11-261
1568621116;3;11-262
1568621117;4;11-262
1568621316;3;11-263
1568621317;4;11-263
1568621516;3;11-264
1568621517;4;11-264
1568621717;3;11-265
1568621717;4;11-265
1568621917;3;11-266
1568621917;4;11-266
1568622117;3;11-267
1568622117;4;11-267
1568622317;3;11-268
1568622318;4;11-268
1568622517;3;11-269
1568622518;4;11-269
1568622717;3;11-270
1568622718;4;11-270
1568622918;3;11-271
1568622918;4;11-271
1568623118;3;11-272
1568623118;4;11-272
1568623318;3;11-273
1568623318;4;11-273
1568623518;3;11-274
1568623519;4;11-274
1568623718;3;11-275
1568623719;4;11-275
1568623918;3;11-276
1568623919;4;11-276
1568624118;3;11-277
1568624119;4;11-277
1568624319;3;11-278
1568624319;4;11-278
1568624519;3;11-279
1568624519;4;11-279
1568624719;3;11-280
1568624719;4;11-280
1568624919;3;11-281
1568624920;4;11-281
1568625119;3;11-282
1568625120;4;11-282
1568625319;3;11-283
1568625320;4;11-283
1568625519;3;11-284
1568625520;4;11-284
1568625720;3;11-285
1568625720;4;11-285
1568625920;3;11-286
1568625920;4;11-286
1568626120;3;11-287
1568626120;4;11-287
1568626320;3;11-288
1568626321;4;11-288
1568626520;3;11-289
1568626521;4;11-289
1568626720;3;11-290
1568626721;4;11-290
1568626920;3;11-291
1568626921;4;11-291
1568627121;3;11-292
1568627121;4;11-292
1568627321;3;11-293
1568627321;4;11-293
1568627521;3;11-294
1568627521;4;11-294
1568627721;3;11-295
1568627722;4;11-295
1568627921;3;11-296
1568627922;4;11-296
1568628121;3;11-297
1568628122;4;11-297
1568628321;3;11-298
1568628322;4;11-298
1568628522;3;11-299
