timestamp;event;payload
156941210;3;8-1
156941210;4;8-1
156941410;3;8-2
156941410;4;8-2
156941610;3;8-3
156941610;4;8-3
156941810;3;8-4
156941810;4;8-4
156942010;3;8-5
156942010;4;8-5
156942210;3;8-6
156942210;4;8-6
156942410;3;8-7
156942411;4;8-7
156942611;3;8-8
156942611;4;8-8
156942811;3;8-9
156942811;4;8-9
156943011;3;8-10
156943011;4;8-10
156943211;3;8-11
156943211;4;8-11
156943411;3;8-12
156943411;4;8-12
156943611;3;8-13
156943611;4;8-13
156943811;3;8-14
156943811;4;8-14
156944011;3;8-15
156944011;4;8-15
156944211;3;8-16
156944212;4;8-16
156944412;3;8-17
156944412;4;8-17
156944612;3;8-18
156944612;4;8-18
156944812;3;8-19
156944812;4;8-19
156945012;3;8-20
156945012;4;8-20
156945212;3;8-21
156945212;4;8-21
156945412;3;8-22
156945412;4;8-22
156945612;3;8-23
156945612;4;8-23
156945812;3;8-24
156945812;4;8-24
156946012;3;8-25
156946012;4;8-25
156946212;3;8-26
156946212;4;8-26
156946412;3;8-27
156946413;4;8-27
156946613;3;8-28
156946613;4;8-28
156946813;3;8-29
156946813;4;8-29
156947013;3;8-30
156947013;4;8-30
156947213;3;8-31
156947213;4;8-31
156947413;3;8-32
156947413;4;8-32
156947613;3;8-33
156947613;4;8-33
156947813;3;8-34
156947813;4;8-34
156948013;3;8-35
156948013;4;8-35
156948214;3;8-36
156948214;4;8-36
156948414;3;8-37
156948414;4;8-37
156948614;3;8-38
156948614;4;8-38
156948814;3;8-39
156948814;4;8-39
156949014;3;8-40
156949014;4;8-40
156949214;3;8-41
156949214;4;8-41
156949414;3;8-42
156949414;4;8-42
156949614;3;8-43
156949614;4;8-43
156949814;3;8-44
156949814;4;8-44
156950014;3;8-45
156950015;4;8-45
156950215;3;8-46
156950215;4;8-46
156950415;3;8-47
156950415;4;8-47
156950615;3;8-48
156950615;4;8-48
156950815;3;8-49
156950815;4;8-49
156951015;3;8-50
156951015;4;8-50
156951215;3;8-51
156951215;4;8-51
156951415;3;8-52
156951415;4;8-52
156951615;3;8-53
156951615;4;8-53
156951815;3;8-54
156951816;4;8-54
156952016;3;8-55
156952016;4;8-55
156952216;3;8-56
156952216;4;8-56
156952416;3;8-57
156952416;4;8-57
156952616;3;8-58
156952616;4;8-58
156952816;3;8-59
156952816;4;8-59
156953016;3;8-60
156953016;4;8-60
156953216;3;8-61
