timestamp;event;payload
157061210;3;59-1
157061211;4;59-1
157061411;3;59-2
157061411;4;59-2
157061611;3;59-3
157061611;4;59-3
157061811;3;59-4
157061811;4;59-4
157062011;3;59-5
157062011;4;59-5
157062211;3;59-6
157062211;4;59-6
157062411;3;59-7
157062411;4;59-7
157062611;3;59-8
157062611;4;59-8
157062811;3;59-9
157062812;4;59-9
157063012;3;59-10
157063012;4;59-10
157063212;3;59-11
157063212;4;59-11
157063412;3;59-12
157063412;4;59-12
157063612;3;59-13
157063612;4;59-13
157063812;3;59-14
157063812;4;59-14
157064012;3;59-15
157064012;4;59-15
157064212;3;59-16
157064212;4;59-16
157064412;3;59-17
157064412;4;59-17
157064612;3;59-18
157064613;4;59-18
157064813;3;59-19
157064813;4;59-19
157065013;3;59-20
157065013;4;59-20
157065213;3;59-21
157065213;4;59-21
157065413;3;59-22
157065413;4;59-22
157065613;3;59-23
157065613;4;59-23
157065813;3;59-24
157065813;4;59-24
157066013;3;59-25
157066013;4;59-25
157066213;3;59-26
157066213;4;59-26
157066413;3;59-27
157066413;4;59-27
157066613;3;59-28
157066613;4;59-28
157066813;3;59-29
157066814;4;59-29
157067014;3;59-30
157067014;4;59-30
157067214;3;59-31
157067214;4;59-31
157067414;3;59-32
157067414;4;59-32
157067614;3;59-33
157067614;4;59-33
157067814;3;59-34
157067814;4;59-34
157068014;3;59-35
157068014;4;59-35
157068214;3;59-36
157068214;4;59-36
157068414;3;59-37
157068414;4;59-37
157068614;3;59-38
157068614;4;59-38
157068814;3;59-39
157068814;4;59-39
157069015;3;59-40
157069015;4;59-40
157069215;3;59-41
157069215;4;59-41
157069415;3;59-42
157069415;4;59-42
157069615;3;59-43
157069615;4;59-43
157069815;3;59-44
157069815;4;59-44
157070015;3;59-45
157070015;4;59-45
157070215;3;59-46
157070215;4;59-46
157070415;3;59-47
157070415;4;59-47
157070615;3;59-48
157070615;4;59-48
157070815;3;59-49
157070815;4;59-49
157071015;3;59-50
157071015;4;59-50
157071216;3;59-51
157071216;4;59-51
157071416;3;59-52
157071416;4;59-52
157071616;3;59-53
157071616;4;59-53
157071816;3;59-54
157071816;4;59-54
157072016;3;59-55
157072016;4;59-55
157072216;3;59-56
157072216;4;59-56
157072416;3;59-57
157072416;4;59-57
157072616;3;59-58
157072616;4;59-58
157072816;3;59-59
157072816;4;59-59
157073016;3;59-60
157073016;4;59-60
157073216;3;59-61
157073217;4;59-61
157073417;3;59-62
157073417;4;59-62
157073617;3;59-63
157073617;4;59-63
157073817;3;59-64
157073817;4;59-64
157074017;3;59-65
157074017;4;59-65
157074217;3;59-66
157074217;4;59-66
157074417;3;59-67
157074417;4;59-67
157074617;3;59-68
157074617;4;59-68
157074817;3;59-69
157074817;4;59-69
157075017;3;59-70
157075017;4;59-70
157075217;3;59-71
157075217;4;59-71
157075417;3;59-72
157075417;4;59-72
157075617;3;59-73
157075618;4;59-73
157075818;3;59-74
157075818;4;59-74
157076018;3;59-75
157076018;4;59-75
157076218;3;59-76
157076218;4;59-76
157076418;3;59-77
157076418;4;59-77
157076618;3;59-78
157076618;4;59-78
157076818;3;59-79
157076818;4;59-79
157077018;3;59-80
157077018;4;59-80
157077218;3;59-81
157077218;4;59-81
157077418;3;59-82
157077418;4;59-82
157077618;3;59-83
157077618;4;59-83
157077818;3;59-84
157077819;4;59-84
157078018;3;59-85
157078019;4;59-85
157078219;3;59-86
157078219;4;59-86
157078419;3;59-87
157078419;4;59-87
157078619;3;59-88
157078619;4;59-88
157078819;3;59-89
157078819;4;59-89
157079019;3;59-90
157079019;4;59-90
157079219;3;59-91
157079219;4;59-91
157079419;3;59-92
157079419;4;59-92
157079619;3;59-93
157079619;4;59-93
157079819;3;59-94
157079819;4;59-94
157080019;3;59-95
157080019;4;59-95
157080220;3;59-96
157080220;4;59-96
157080420;3;59-97
157080420;4;59-97
157080620;3;59-98
157080620;4;59-98
157080820;3;59-99
157080820;4;59-99
157081020;3;59-100
157081020;4;59-100
157081220;3;59-101
157081220;4;59-101
157081420;3;59-102
157081420;4;59-102
157081620;3;59-103
157081620;4;59-103
157081820;3;59-104
157081820;4;59-104
157082020;3;59-105
157082020;4;59-105
157082221;3;59-106
157082221;4;59-106
157082421;3;59-107
157082421;4;59-107
157082621;3;59-108
157082621;4;59-108
157082821;3;59-109
157082821;4;59-109
157083021;3;59-110
157083021;4;59-110
157083221;3;59-111
157083221;4;59-111
157083421;3;59-112
157083421;4;59-112
157083621;3;59-113
157083621;4;59-113
157083821;3;59-114
157083821;4;59-114
157084021;3;59-115
157084021;4;59-115
157084221;3;59-116
157084222;4;59-116
157084422;3;59-117
