timestamp;event;payload
751764555;3;50-1
751764555;4;50-1
751764755;3;50-2
751764755;4;50-2
751764955;3;50-3
751764955;4;50-3
751765155;3;50-4
751765155;4;50-4
751765355;3;50-5
751765355;4;50-5
751765555;3;50-6
751765555;4;50-6
751765755;3;50-7
751765755;4;50-7
751765955;3;50-8
751765956;4;50-8
751766155;3;50-9
751766156;4;50-9
751766355;3;50-10
751766356;4;50-10
751766555;3;50-11
751766556;4;50-11
751766756;3;50-12
751766756;4;50-12
751766956;3;50-13
751766956;4;50-13
751767156;3;50-14
751767156;4;50-14
751767356;3;50-15
751767356;4;50-15
751767556;3;50-16
751767556;4;50-16
751767756;3;50-17
751767756;4;50-17
751767956;3;50-18
751767957;4;50-18
751768156;3;50-19
751768157;4;50-19
751768356;3;50-20
751768357;4;50-20
751768556;3;50-21
751768557;4;50-21
751768756;3;50-22
751768757;4;50-22
751768957;3;50-23
751768957;4;50-23
751769157;3;50-24
751769157;4;50-24
751769357;3;50-25
751769357;4;50-25
751769557;3;50-26
751769557;4;50-26
751769757;3;50-27
751769757;4;50-27
751769957;3;50-28
751769957;4;50-28
751770157;3;50-29
751770158;4;50-29
751770357;3;50-30
751770557;3;50-31
751770557;4;50-30
751770558;4;50-31
751770757;3;50-32
751770758;4;50-32
751770958;3;50-33
751770958;4;50-33
751771158;3;50-34
751771358;3;50-35
751771558;3;50-36
751771558;4;50-34
751771558;4;50-35
751771758;3;50-37
751771958;3;50-38
751772158;3;50-39
751772358;3;50-40
751772358;4;50-36
751772359;4;50-37
751772558;3;50-41
751772758;3;50-42
751772758;4;50-38
751772759;4;50-39
751772958;3;50-43
751773159;3;50-44
751773359;3;50-45
751773559;3;50-46
751773759;3;50-47
751773759;4;50-40
751773759;4;50-41
751773959;3;50-48
751774159;3;50-49
751774159;4;50-42
751774159;4;50-43
751774359;3;50-50
751774559;3;50-51
751774759;3;50-52
751774959;3;50-53
751775159;3;50-54
751775159;4;50-44
751775160;4;50-45
751775360;3;50-55
751775360;4;50-46
751775360;4;50-47
751775560;3;50-56
751775760;3;50-57
751775960;3;50-58
751776160;3;50-59
751776160;4;50-48
751776160;4;50-49
751776360;3;50-60
751776560;3;50-61
751776760;3;50-62
751776760;4;50-50
751776760;4;50-51
751776960;3;50-63
