timestamp;event;payload
140211823;3;0-1
140211824;4;0-1
140212024;3;0-2
140212024;4;0-2
140212224;3;0-3
140212224;4;0-3
140212424;3;0-4
140212424;4;0-4
140212624;3;0-5
140212624;4;0-5
140212824;3;0-6
140212824;4;0-6
140213024;3;0-7
140213024;4;0-7
140213224;3;0-8
140213224;4;0-8
140213425;3;0-9
140213425;4;0-9
140213625;3;0-10
140213625;4;0-10
140213825;3;0-11
140213825;4;0-11
140214025;3;0-12
140214025;4;0-12
140214225;3;0-13
140214225;4;0-13
140214425;3;0-14
140214425;4;0-14
140214625;3;0-15
140214625;4;0-15
140214825;3;0-16
140214826;4;0-16
140215026;3;0-17
140215026;4;0-17
140215226;3;0-18
140215226;4;0-18
140215426;3;0-19
140215426;4;0-19
140215626;3;0-20
140215626;4;0-20
140215826;3;0-21
140215826;4;0-21
140216026;3;0-22
140216026;4;0-22
140216226;3;0-23
140216226;4;0-23
140216427;3;0-24
140216427;4;0-24
140216627;3;0-25
140216627;4;0-25
140216827;3;0-26
140216827;4;0-26
140217027;3;0-27
140217027;4;0-27
140217227;3;0-28
140217227;4;0-28
140217427;3;0-29
140217427;4;0-29
140217627;3;0-30
140217627;4;0-30
140217827;3;0-31
140217828;4;0-31
140218028;3;0-32
140218028;4;0-32
140218228;3;0-33
140218228;4;0-33
140218428;3;0-34
140218428;4;0-34
140218628;3;0-35
140218628;4;0-35
140218828;3;0-36
140218828;4;0-36
140219028;3;0-37
140219028;4;0-37
140219228;3;0-38
140219229;4;0-38
140219429;3;0-39
140219429;4;0-39
140219629;3;0-40
140219629;4;0-40
140219829;3;0-41
140219829;4;0-41
140220029;3;0-42
140220029;4;0-42
140220229;3;0-43
140220229;4;0-43
140220429;3;0-44
140220429;4;0-44
140220629;3;0-45
140220629;4;0-45
140220829;3;0-46
140220830;4;0-46
140221030;3;0-47
140221030;4;0-47
140221230;3;0-48
140221230;4;0-48
140221430;3;0-49
140221430;4;0-49
140221630;3;0-50
140221630;4;0-50
140221830;3;0-51
140221830;4;0-51
140222030;3;0-52
140222030;4;0-52
140222230;3;0-53
140222231;4;0-53
140222431;3;0-54
140222431;4;0-54
140222631;3;0-55
140222631;4;0-55
140222831;3;0-56
140222831;4;0-56
140223031;3;0-57
140223031;4;0-57
140223231;3;0-58
140223231;4;0-58
140223431;3;0-59
140223431;4;0-59
140223631;3;0-60
